"Nr okręgu";"Pozycja na liście";"Nazwisko i imiona";"Nazwa komitetu";"Płeć";"Zawód";"Miejsce zamieszkania";"TERYT m. z.";"Gmina m. z.";"Przynależność do partii";"Poparcie";"Liczba głosów";"Procent głosów oddanych w okręgu";"Czy przyznano mandat"
91;;"Rafał Szymon GRUPIŃSKI";"KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"Mężczyzna";"historyk kultury";"Poznań";"306401";"m. Poznań";"członek partii politycznej: Platforma Obywatelska RP";"";;;
91;;"Ewa Anna JEMIELITY";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"Kobieta";"wykładowca języka angielskiego";"Poznań";"306401";"m. Poznań";"członek partii politycznej: Prawo i Sprawiedliwość";"";;;
92;;"Grzegorz FEDOROWICZ";"KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOŁOWNI - POLSKIE STRONNICTWO LUDOWE";"Mężczyzna";"nauczyciel";"Gozdowo";"303005";"gm. Września";"członek partii politycznej: Polska 2050 Szymona Hołowni";"";;;
92;;"Michał Aleksander JURGA";"KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"Mężczyzna";"przedsiębiorca";"Środa Wielkopolska";"302504";"gm. Środa Wielkopolska";"nie należy do partii politycznej";"";;;
92;;"Krzysztof Jan OSTROWSKI";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"Mężczyzna";"lekarz - specjalista chorób wewnętrznych";"Skiereszewo";"300303";"gm. Gniezno";"członek partii politycznej: Prawo i Sprawiedliwość";"";;;
92;;"Mirosław PIASECKI";"KOMITET WYBORCZY WYBORCÓW MIROSŁAWA PIASECKIEGO KANDYDATA NA SENATORA RZECZYPOSPOLITEJ POLSKIEJ";"Mężczyzna";"przedsiębiorca";"Luciny";"302604";"gm. Śrem";"nie należy do partii politycznej";"";;;
92;;"Dawid Krzysztof PRZYBYLSKI";"KOMITET WYBORCZY WYBORCÓW RUCHU DOBROBYTU I POKOJU";"Mężczyzna";"pedagog specjalizacja resocjalizacja";"Jarosławiec";"302504";"gm. Środa Wielkopolska";"nie należy do partii politycznej";"";;;
93;;"Barbara BILSKA";"KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"Kobieta";"nauczyciel";"Kłodawa";"300906";"gm. Kłodawa";"członek partii politycznej: Ruch Narodowy";"";;;
93;;"Leszek Ryszard GALEMBA";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"Mężczyzna";"poseł na sejm rp";"Kiełczew Smużny Czwarty";"300907";"gm. Koło";"członek partii politycznej: Prawo i Sprawiedliwość";"";;;
93;;"Krystian Piotr KRAWCZYK";"KOMITET WYBORCZY BEZPARTYJNI SAMORZĄDOWCY";"Mężczyzna";"geodeta";"Kowale Pańskie - Kolonia";"302704";"gm. Kawęczyn";"nie należy do partii politycznej";"";;;
93;;"Anna MAJDA";"KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOŁOWNI - POLSKIE STRONNICTWO LUDOWE";"Kobieta";"lekarz";"Kawęczyn";"302704";"gm. Kawęczyn";"nie należy do partii politycznej";"";;;
94;;"Adam Mieczysław GBIORCZYK";"KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"Mężczyzna";"dziennikarz";"Leszno";"306301";"m. Leszno";"członek partii politycznej: Nowa Nadzieja";"";;;
94;;"Sławomir Marcin KRYJOM";"KOMITET WYBORCZY BEZPARTYJNI SAMORZĄDOWCY";"Mężczyzna";"pracownik samorządowy";"Leszno";"306301";"m. Leszno";"nie należy do partii politycznej";"";;;
94;;"Dorota SŁOWIŃSKA";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"Kobieta";"nauczyciel";"Jerka";"301104";"gm. Krzywiń";"członek partii politycznej: Prawo i Sprawiedliwość";"";;;
94;;"Wojciech Stanisław ZIEMNIAK";"KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"Mężczyzna";"nauczyciel";"Kościan";"301101";"m. Kościan";"członek partii politycznej: Platforma Obywatelska RP";"";;;
95;;"Ewa Jolanta MATECKA";"KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"Kobieta";"archeolog";"Ostrów Wielkopolski";"301701";"m. Ostrów Wielkopolski";"członek partii politycznej: Platforma Obywatelska RP";"";;;
95;;"Manuela Anna MICHALAK";"KOMITET WYBORCZY BEZPARTYJNI SAMORZĄDOWCY";"Kobieta";"przedsiębiorca";"Luboń";"302101";"m. Luboń";"nie należy do partii politycznej";"";;;
95;;"Łukasz MIKOŁAJCZYK";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"Mężczyzna";"nauczyciel";"Ostrów Wielkopolski";"301701";"m. Ostrów Wielkopolski";"członek partii politycznej: Prawo i Sprawiedliwość";"";;;
95;;"Piotr PIECHOWIAK";"KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"Mężczyzna";"przedsiębiorca";"Gorzyce Wielkie";"301704";"gm. Ostrów Wielkopolski";"członek partii politycznej: Ruch Narodowy";"";;;
96;;"Dawid BOROWIAK";"KOMITET WYBORCZY WYBORCÓW NIEZALEŻNY KANDYDAT DAWID BOROWIAK";"Mężczyzna";"przedsiębiorca";"Kalisz";"306101";"m. Kalisz";"nie należy do partii politycznej";"";;;
96;;"Urszula JANCZAR";"KOMITET WYBORCZY BEZPARTYJNI SAMORZĄDOWCY";"Kobieta";"dyrektor szkoły";"Żerniki";"300701";"gm. Blizanów";"nie należy do partii politycznej";"";;;
96;;"Zdzisław Kazimierz JANKOWSKI";"KOMITET WYBORCZY NORMALNY KRAJ";"Mężczyzna";"emeryt";"Rychwał";"301007";"gm. Rychwał";"członek partii politycznej: Samoobrona RP";"";;;
96;;"Janusz Andrzej PĘCHERZ";"KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"Mężczyzna";"nauczyciel akademicki";"Kościelna Wieś";"302005";"gm. Gołuchów";"nie należy do partii politycznej";"";;;
96;;"Arkadiusz Stefan RATAJCZYK";"KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"Mężczyzna";"chemik";"Kalisz";"306101";"m. Kalisz";"członek partii politycznej: Nowa Nadzieja";"";;;
96;;"Grzegorz Marcin SAPIŃSKI";"KOMITET WYBORCZY WYBORCÓW WIELKOPOLSKA INICJATYWA SENACKA";"Mężczyzna";"psycholog";"Kalisz";"306101";"m. Kalisz";"nie należy do partii politycznej";"";;;
96;;"Andrzej Franciszek WOJTYŁA";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"Mężczyzna";"lekarz";"Pawłówek";"300701";"gm. Blizanów";"członek partii politycznej: Partia Republikańska";"";;;
97;;"Tomasz Paweł GRODZKI";"KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"Mężczyzna";"lekarz specjalista chirurgii klatki piersiowej i transplantologii";"Szczecin";"326201";"m. Szczecin";"członek partii politycznej: Platforma Obywatelska RP";"";;;
97;;"Agnieszka KURZAWA";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"Kobieta";"przedstawiciel władzy samorządowej";"Szczecin";"326201";"m. Szczecin";"członek partii politycznej: Prawo i Sprawiedliwość";"";;;
98;;"Magdalena Maria KOCHAN";"KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"Kobieta";"parlamentarzysta";"Żółwia";"320402";"gm. Goleniów";"członek partii politycznej: Platforma Obywatelska RP";"";;;
98;;"Halina Barbara SZYMAŃSKA";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"Kobieta";"lekarz weterynarii";"Łobez";"321802";"gm. Łobez";"członek partii politycznej: Prawo i Sprawiedliwość";"";;;
99;;"Barbara Maria AŚCIUKIEWICZ";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"Kobieta";"nauczyciel";"Kołobrzeg";"320801";"m. Kołobrzeg";"członek partii politycznej: Prawo i Sprawiedliwość";"";;;
99;;"Janusz GROMEK";"KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"Mężczyzna";"parlamentarzysta";"Kołobrzeg";"320801";"m. Kołobrzeg";"członek partii politycznej: Platforma Obywatelska RP";"";;;
99;;"Mariusz NAGÓRSKI";"KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"Mężczyzna";"Pedagog";"Drawsko Pomorskie";"320302";"gm. Drawsko Pomorskie";"członek partii politycznej: Konfederacja Ruch Narodowy";"";;;
100;;"Stanisław GAWŁOWSKI";"KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"Mężczyzna";"parlamentarzysta";"Koszalin";"326101";"m. Koszalin";"członek partii politycznej: Platforma Obywatelska RP";"";;;
100;;"Andrzej Stanisław JAKUBOWSKI";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"Mężczyzna";"inżynier technolog";"Koszalin";"326101";"m. Koszalin";"nie należy do partii politycznej";"";;;
100;;"Jan KURIATA";"KOMITET WYBORCZY WYBORCÓW TAK DLA SENATU RP JAN KURIATA";"Mężczyzna";"nauczyciel akademicki";"Koszalin";"326101";"m. Koszalin";"nie należy do partii politycznej";"";;;
100;;"Iwona Barbara MALISZEWSKA";"KOMITET WYBORCZY BEZPARTYJNI SAMORZĄDOWCY";"Kobieta";"inżynier ochrony środowiska";"Chociwle";"320903";"gm. Bobolice";"nie należy do partii politycznej";"";;;
100;;"Marcin Przemysław SYCHOWSKI";"KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"Mężczyzna";"radca prawny";"Koszalin";"326101";"m. Koszalin";"nie należy do partii politycznej";"";;;
100;;"Marek Adam ŁAGOCKI";"KOMITET WYBORCZY WYBORCÓW PAKT SENAT DLA OBYWATELI";"Mężczyzna";"redaktor";"Koszalin";"326101";"m. Koszalin";"nie należy do partii politycznej";"";;;
