"Nr okręgu";"Nr listy";"Pozycja na liście";"Nazwisko i imiona";"Nazwa komitetu";"Płeć";"Zawód";"Miejsce zamieszkania";"TERYT m. z.";"Gmina m. z.";"Przynależność do partii";"Poparcie";"Liczba głosów";"Procent głosów oddanych na listę";"Procent głosów oddanych w okręgu";"Czy przyznano mandat"
4;;;"Regina BODZEK";"KOMITET WYBORCZY BEZPARTYJNI SAMORZĄDOWCY";"Kobieta";"nauczyciel";"Żmigród";"022006";"gm. Żmigród";"nie należy do partii politycznej";"";;;;
4;;;"Joanna Małgorzata BOROWSKA";"KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOŁOWNI - POLSKIE STRONNICTWO LUDOWE";"Kobieta";"nauczyciel";"Chrząstowo";"040703";"gm. Gniewkowo";"nie należy do partii politycznej";"";;;;
4;;;"Krzysztof BREJZA";"KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"Mężczyzna";"senator";"Inowrocław";"040701";"m. Inowrocław";"członek partii politycznej: Platforma Obywatelska RP";"";;;;
4;;;"Wojciech Jan BULANDA";"KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"Mężczyzna";"przedsiębiorca";"Bydgoszcz";"046101";"m. Bydgoszcz";"nie należy do partii politycznej";"";;;;
4;;;"Waldemar CIESIELCZYK";"KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"Mężczyzna";"przedsiębiorca";"Wola Kożuszkowa";"040902";"gm. Jeziora Wielkie";"nie należy do partii politycznej";"";;;;
4;;;"Joanna Ewa CZERSKA-THOMAS";"KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"Kobieta";"przedsiębiorca";"Bydgoszcz";"046101";"m. Bydgoszcz";"członek partii politycznej: Nowoczesna";"";;;;
4;;;"Krzysztof Mikołaj DERESZYŃSKI";"KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"Mężczyzna";"przedsiębiorca";"Bladowo";"041606";"gm. Tuchola";"członek partii politycznej: Platforma Obywatelska RP";"";;;;
4;;;"Sławomir DRELICH";"KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOŁOWNI - POLSKIE STRONNICTWO LUDOWE";"Mężczyzna";"nauczyciel akademicki - nauki humanistyczne";"Inowrocław";"040701";"m. Inowrocław";"członek partii politycznej: Polska 2050 Szymona Hołowni";"";;;;
4;;;"Magdalena DURCZAK";"KOMITET WYBORCZY NOWA LEWICA";"Kobieta";"kierownik do spraw sprzedaży";"Bydgoszcz";"046101";"m. Bydgoszcz";"członek partii politycznej: Nowa Lewica";"";;;;
4;;;"Joanna Renata DĄBROWSKA";"KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"Kobieta";"przedsiębiorca";"Świecie";"041409";"gm. Świecie";"członek partii politycznej: Nowa Nadzieja";"";;;;
4;;;"Anna FABIN-PAPAJ";"KOMITET WYBORCZY BEZPARTYJNI SAMORZĄDOWCY";"Kobieta";"nauczyciel";"Jelenia Góra";"026101";"m. Jelenia Góra";"nie należy do partii politycznej";"";;;;
4;;;"Anna FALKOWSKA";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"Kobieta";"nauczyciel";"Barcin";"041901";"gm. Barcin";"członek partii politycznej: Prawo i Sprawiedliwość";"";;;;
4;;;"Krzysztof Kamil GAWKOWSKI";"KOMITET WYBORCZY NOWA LEWICA";"Mężczyzna";"nauczyciel akademicki - nauki humanistyczne";"Wołomin";"143412";"gm. Wołomin";"członek partii politycznej: Nowa Lewica";"";;;;
4;;;"Jerzy Marek GAWĘDA";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"Mężczyzna";"technik ekonomista";"Góra";"040704";"gm. Inowrocław";"członek partii politycznej: Prawo i Sprawiedliwość";"";;;;
4;;;"Maria Władysława GAŁĘSKA";"KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"Kobieta";"bibliotekoznawca";"Bydgoszcz";"046101";"m. Bydgoszcz";"nie należy do partii politycznej";"";;;;
4;;;"Joanna GEISLER-GRYGROWICZ";"KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"Kobieta";"technik ekonomista";"Bydgoszcz";"046101";"m. Bydgoszcz";"członek partii politycznej: Ruch Narodowy";"";;;;
4;;;"Włodzisław Sławomir GIZIŃSKI";"KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"Mężczyzna";"lekarz psychiatra";"Bydgoszcz";"046101";"m. Bydgoszcz";"członek partii politycznej: Platforma Obywatelska RP";"";;;;
4;;;"Stanisław GLISZCZYŃSKI";"KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"Mężczyzna";"nauczyciel";"Koronowo";"040304";"gm. Koronowo";"nie należy do partii politycznej";"";;;;
4;;;"Andrzej GORNOWICZ";"KOMITET WYBORCZY BEZPARTYJNI SAMORZĄDOWCY";"Mężczyzna";"inżynier inżynierii środowiska";"Tuchola";"041606";"gm. Tuchola";"nie należy do partii politycznej";"";;;;
4;;;"Anna Maria GROBELNA";"KOMITET WYBORCZY NOWA LEWICA";"Kobieta";"nauczyciel języka angielskiego";"Tuchola";"041606";"gm. Tuchola";"nie należy do partii politycznej";"";;;;
4;;;"Żaneta Maria GŁOWACKA";"KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOŁOWNI - POLSKIE STRONNICTWO LUDOWE";"Kobieta";"księgowa";"Barcin Wieś";"041901";"gm. Barcin";"członek partii politycznej: Polska 2050 Szymona Hołowni";"";;;;
4;;;"Adam Andrzej HOFFMANN";"KOMITET WYBORCZY NOWA LEWICA";"Mężczyzna";"kierownik działu administracyjno-gospodarczego";"Bydgoszcz";"046101";"m. Bydgoszcz";"członek partii politycznej: Lewica Razem";"";;;;
4;;;"Anna Ewa JAKUBOWSKA";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"Kobieta";"asystent zarządu";"Koronowo";"040304";"gm. Koronowo";"nie należy do partii politycznej";"";;;;
4;;;"Marek Krzysztof JELENIEWSKI";"KOMITET WYBORCZY NOWA LEWICA";"Mężczyzna";"prawnik";"Bydgoszcz";"046101";"m. Bydgoszcz";"członek partii politycznej: Nowa Lewica";"";;;;
